component,category,subcategory,projected_year_number,projection_year_range,number_of_projections,average_error,average_absolute_error,RMSE,two_thirds_spread
deficit,Total,Total,1,1984-2024,41,-0.1,0.8,1.7,1.1
deficit,Total,Total,2,1985-2024,40,-1.0,1.7,2.8,3.0
deficit,Total,Total,3,1986-2024,39,-1.5,2.4,3.5,5.0
deficit,Total,Total,4,1987-2024,38,-1.8,3.0,3.9,7.8
deficit,Total,Total,5,1988-2024,37,-2.0,3.4,4.3,8.6
deficit,Total,Total,6,1989-2024,36,-2.1,3.5,4.4,7.4
deficit,Total,Total,7,2002-2024,23,-4.2,4.3,5.2,6.4
deficit,Total,Total,8,2003-2024,22,-4.6,4.6,5.6,6.6
deficit,Total,Total,9,2004-2024,21,-5.0,5.0,6.4,8.1
deficit,Total,Total,10,2005-2024,20,-5.4,5.5,7.0,9.5
deficit,Total,Total,11,2006-2024,19,-5.9,6.1,7.3,8.7
